Frames,Animation,UE_Ready(default False)
1-11, Run_Combat_Left_2H_UB, True
12-44, Atk_2H_Fw_UB, True
45-77, Atk_2H_Left_UB, True
79-111, Atk_2H_Right_UB, True
112-156, Atk_2H_1_LB, True
158-202, Atk_2H_1_UB, True
204-251, Atk_2H_2_LB, True
252-299, Atk_2H_2_UB, True
301-349, Atk_2H_3_LB, True
350-399, Atk_2H_3_UB, True
401-411, Idle_Combat_2H_LB, True
413-424, Idle_Combat_2H_UB, True
426-442, Walk_Combat_Bw_UB, True
443-475, Atk_2H_Neutral_UB, True
476-486, Run_Combat_Right_2H_UB, True
487, Parry_2H_UB, True
489-497, Run_Combat_Fw_2H_UB, True
498-512, Walk_Combat_Fw_2H_UB, True
593-606, Combat_Start_2H_UB, True
607-623, Combat_Start_2H_LB, True
623-638, Combat_Exit_2H_LB, True
640-655, Combat_Exit_2H_UB, True
