bone0000,root
bone0001,pelvis
bone0002,base_01
bone0003,base_02
bone0004,spine_01
bone0005,spine_02
bone0006,neck
bone0007,head_01
bone0008,head_02
bone0009,eye_brow_l
bone0010,eye_brow_r
bone0011,mouth
bone0012,ear_l
bone0013,ear_r
bone0014,eye_lid_l
bone0015,eye_l
bone0016,eye_r
bone0017,eye_lid_r
bone0018,clavicle_01_l
bone0019,shoulder_l
bone0020,arm_upper_l
bone0021,arm_lower_l
bone0022,wrist_l
bone0023,hand_l
bone0024,thumb_l
bone0025,fingers_l
bone0027,finger_index_l
bone0028,hand_socket_l
bone0029,shoulder_socket_l
bone0030,clavicle_02_l
bone0032,clavicle_01_r
bone0033,shoulder_r
bone0034,arm_upper_r
bone0035,arm_lower_r
bone0036,wrist_r
bone0037,hand_r
bone0038,thumb_r
bone0039,fingers_r
bone0041,finger_index_r
bone0042,shoulder_socket_r
bone0043,clavicle_02_r
bone0045,unknown_01
bone0046,unknown_02
bone0047,unknown_03
bone0048,unknown_04
bone0049,unknown_05
bone0050,bit_01
bone0051,bit_02
bone0053,bit_03
bone0054,bit_04
bone0056,bit_05
bone0058,bit_06
bone0059,bit_07
bone0061,bit_08
bone0063,bit_09
bone0065,bit_10
bone0067,bit_11
bone0068,bit_12
bone0069,bit_13
bone0071,bit_14
bone0072,waist
bone0073,hip_r
bone0074,thigh_r
bone0075,calf_r
bone0076,foot_r
bone0078,hip_l
bone0079,thigh_l
bone0080,calf_l
bone0081,foot_l
bone0083,belt_rear
bone0084,belt_fr_01
bone0085,belt_r
bone0086,belt_fr_02
bone0087,belt_l
bone0088,belt_rear_l
bone0089,belt_f
bone0090,belt_fl_01
bone0091,belt_fl_02
bone0092,belt_rear_r
